,age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,deposit
7512,51,management,single,tertiary,yes,-55,yes,no,cellular,11,may,2,266,6,failure,no
3175,65,entrepreneur,married,tertiary,no,2331,no,no,telephone,9,feb,1,92,1,success,yes
10498,34,management,married,tertiary,no,105,yes,no,unknown,6,may,3,-1,0,unknown,no
159,28,management,married,secondary,no,292,yes,no,unknown,28,may,1,-1,0,unknown,yes
624,55,management,married,tertiary,no,-375,no,no,cellular,30,jul,2,-1,0,unknown,yes
7925,29,technician,single,secondary,no,510,yes,no,unknown,16,jun,15,-1,0,unknown,no
2806,29,self-employed,married,secondary,no,123,no,yes,cellular,22,oct,1,184,3,success,yes
8485,50,blue-collar,married,primary,no,9301,yes,no,cellular,7,jul,4,-1,0,unknown,no
789,55,retired,married,primary,no,3334,no,no,cellular,14,aug,4,-1,0,unknown,yes
1222,42,technician,married,tertiary,no,757,no,no,cellular,10,feb,1,-1,0,unknown,yes
11003,35,management,single,tertiary,no,805,no,no,cellular,17,sep,1,-1,0,unknown,no
4090,22,student,single,secondary,no,2488,no,no,cellular,8,nov,2,38,10,other,yes
8231,54,housemaid,married,primary,no,3151,no,no,unknown,18,jun,7,-1,0,unknown,no
3404,49,admin.,married,secondary,no,197,yes,no,cellular,13,apr,1,182,2,failure,yes
2143,25,student,single,secondary,no,304,no,no,cellular,26,may,2,-1,0,unknown,yes
6737,59,blue-collar,married,primary,no,625,no,no,cellular,9,jul,1,-1,0,unknown,no
1441,41,services,married,secondary,no,803,yes,no,cellular,9,apr,4,316,3,failure,yes
4178,37,admin.,married,secondary,no,0,yes,no,cellular,2,jun,1,-1,0,unknown,yes
3847,31,blue-collar,single,secondary,no,228,no,no,cellular,6,aug,1,88,4,other,yes
287,58,admin.,married,secondary,no,826,no,no,unknown,12,jun,1,-1,0,unknown,yes
6493,36,technician,married,tertiary,no,4388,no,no,cellular,8,aug,3,-1,0,unknown,no
10987,58,blue-collar,married,secondary,no,381,no,no,cellular,11,nov,4,-1,0,unknown,no
5741,40,admin.,married,secondary,no,367,yes,no,telephone,5,feb,1,274,1,failure,no
5246,30,services,divorced,secondary,no,436,yes,no,cellular,17,jun,1,-1,0,unknown,yes
8651,32,blue-collar,single,secondary,no,5252,yes,no,cellular,20,nov,2,183,2,failure,no
1838,60,blue-collar,married,unknown,no,2090,yes,no,cellular,7,may,2,-1,0,unknown,yes
1409,42,management,single,tertiary,no,11891,no,no,cellular,6,apr,1,-1,0,unknown,yes
6933,36,management,married,tertiary,no,23,no,no,cellular,26,aug,11,-1,0,unknown,no
9628,62,blue-collar,married,primary,no,1381,no,no,cellular,19,oct,1,-1,0,unknown,no
9641,55,management,divorced,tertiary,no,8044,yes,no,cellular,11,may,5,333,19,other,no
5140,50,management,married,tertiary,no,5969,no,no,cellular,25,jan,1,544,2,failure,yes
8198,23,admin.,single,secondary,no,1104,yes,no,unknown,12,may,2,-1,0,unknown,no
2012,26,technician,single,tertiary,no,-67,yes,no,cellular,15,may,1,-1,0,unknown,yes
10058,39,technician,single,secondary,no,201,no,yes,unknown,6,jun,4,-1,0,unknown,no
11008,56,services,married,unknown,no,616,no,no,unknown,18,jun,1,-1,0,unknown,no
2656,24,technician,single,secondary,no,726,no,no,cellular,8,sep,2,-1,0,unknown,yes
3537,53,admin.,married,secondary,no,53,yes,no,cellular,18,may,1,-1,0,unknown,yes
9211,26,management,single,tertiary,no,1177,no,no,cellular,19,oct,1,-1,0,unknown,no
2028,25,admin.,single,secondary,no,507,yes,no,cellular,15,may,1,367,3,failure,yes
8076,34,services,married,primary,no,31,no,yes,cellular,9,jul,3,-1,0,unknown,no
7810,41,blue-collar,married,secondary,no,2717,yes,yes,cellular,24,jul,2,-1,0,unknown,no
10035,41,management,married,tertiary,no,-195,no,yes,cellular,20,nov,1,-1,0,unknown,no
1595,45,management,married,tertiary,no,212,no,no,cellular,21,apr,2,-1,0,unknown,yes
55,40,admin.,married,secondary,no,1535,yes,no,unknown,14,may,1,-1,0,unknown,yes
9796,54,blue-collar,divorced,secondary,no,615,no,yes,cellular,20,nov,1,-1,0,unknown,no
721,31,management,single,tertiary,no,165,no,yes,cellular,8,aug,2,-1,0,unknown,yes
1963,35,services,married,secondary,no,341,yes,no,cellular,14,may,1,-1,0,unknown,yes
8557,37,unemployed,single,secondary,no,48,no,no,cellular,31,jul,10,-1,0,unknown,no
6343,30,management,single,tertiary,no,1466,no,no,cellular,12,aug,4,-1,0,unknown,no
6917,35,blue-collar,married,primary,no,2490,yes,no,cellular,18,may,1,180,3,failure,no
2544,77,retired,married,tertiary,no,0,no,no,cellular,17,aug,1,-1,0,unknown,yes
5425,35,management,divorced,tertiary,no,538,yes,no,unknown,12,may,4,-1,0,unknown,no
10944,39,technician,divorced,secondary,no,1270,yes,no,unknown,29,may,4,-1,0,unknown,no
332,27,blue-collar,married,secondary,no,61,yes,no,unknown,19,jun,1,-1,0,unknown,yes
7189,47,blue-collar,married,primary,no,550,yes,no,unknown,7,may,1,-1,0,unknown,no
467,26,technician,single,secondary,no,354,no,no,cellular,16,jul,1,-1,0,unknown,yes
6376,43,admin.,single,tertiary,no,664,yes,no,cellular,17,apr,1,-1,0,unknown,no
8038,51,technician,married,unknown,no,573,yes,yes,unknown,14,may,1,-1,0,unknown,no
7727,56,blue-collar,married,primary,no,0,no,no,cellular,7,aug,6,-1,0,unknown,no
1770,38,management,divorced,tertiary,no,6368,yes,no,cellular,4,may,4,-1,0,unknown,yes
4909,44,admin.,married,secondary,no,205,no,no,cellular,3,nov,1,-1,0,unknown,yes
6656,38,self-employed,divorced,secondary,no,0,yes,no,cellular,20,apr,1,-1,0,unknown,no
9533,29,blue-collar,married,primary,no,-382,yes,no,cellular,28,jul,2,-1,0,unknown,no
4026,22,admin.,single,secondary,no,372,no,no,cellular,6,oct,1,-1,0,unknown,yes
4148,28,services,single,tertiary,no,128,no,no,cellular,27,may,1,414,1,failure,yes
2411,25,student,single,tertiary,no,58,no,no,cellular,24,jul,5,-1,0,unknown,yes
5287,48,entrepreneur,married,secondary,no,0,no,yes,cellular,28,jul,2,-1,0,unknown,yes
6440,48,management,married,primary,no,606,no,no,cellular,5,mar,6,-1,0,unknown,no
10986,33,management,married,tertiary,no,-139,no,no,cellular,8,jul,1,-1,0,unknown,no
7382,30,management,single,tertiary,no,222,no,yes,cellular,4,feb,1,204,2,other,no
1711,33,student,single,unknown,no,1170,no,no,cellular,30,apr,1,-1,0,unknown,yes
130,33,blue-collar,married,secondary,no,1464,yes,no,unknown,23,may,3,-1,0,unknown,yes
5578,29,admin.,married,secondary,no,6429,yes,yes,cellular,14,may,1,352,2,failure,no
5857,45,blue-collar,married,primary,no,700,yes,no,telephone,13,may,4,-1,0,unknown,no
10367,30,management,single,tertiary,no,1636,no,no,unknown,6,jun,2,-1,0,unknown,no
2946,58,admin.,married,secondary,no,169,no,no,cellular,16,nov,1,94,3,failure,yes
7080,47,housemaid,married,primary,no,0,yes,no,telephone,24,jul,1,-1,0,unknown,no
5555,36,technician,married,secondary,no,0,yes,no,cellular,21,jul,5,-1,0,unknown,no
5854,51,management,married,tertiary,no,-3,no,no,cellular,21,aug,2,-1,0,unknown,no
6151,59,blue-collar,married,unknown,no,337,no,no,unknown,18,jun,4,-1,0,unknown,no
166,56,blue-collar,married,secondary,no,249,yes,no,unknown,29,may,2,-1,0,unknown,yes
117,31,management,single,tertiary,no,825,yes,no,unknown,21,may,2,-1,0,unknown,yes
6384,48,services,single,primary,no,-139,no,no,cellular,13,may,2,-1,0,unknown,no
4688,58,services,divorced,secondary,no,462,no,no,cellular,12,aug,1,-1,0,unknown,yes
6936,42,management,married,tertiary,no,0,no,no,cellular,13,aug,2,-1,0,unknown,no
10894,32,management,single,tertiary,no,9317,no,no,cellular,2,nov,3,-1,0,unknown,no
7818,42,technician,married,secondary,no,27,no,no,cellular,14,aug,4,-1,0,unknown,no
935,59,housemaid,married,tertiary,no,0,no,no,telephone,13,nov,1,-1,0,unknown,yes
4664,45,admin.,divorced,tertiary,no,1506,no,no,cellular,28,jul,4,-1,0,unknown,yes
10663,50,blue-collar,married,secondary,no,907,no,yes,cellular,16,jul,1,-1,0,unknown,no
4596,19,student,single,primary,no,608,no,no,cellular,12,may,1,180,2,success,yes
7715,49,blue-collar,married,secondary,no,102,no,no,cellular,29,aug,2,-1,0,unknown,no
401,40,blue-collar,married,primary,no,665,yes,no,cellular,9,jul,1,-1,0,unknown,yes
6800,37,management,married,tertiary,no,332,yes,no,cellular,14,aug,2,84,7,failure,no
247,47,blue-collar,married,secondary,no,1996,no,no,unknown,5,jun,2,-1,0,unknown,yes
1257,26,student,single,secondary,no,620,no,no,cellular,17,feb,1,-1,0,unknown,yes
10310,27,blue-collar,single,secondary,no,5563,yes,no,unknown,30,may,2,-1,0,unknown,no
4224,23,student,single,unknown,no,854,yes,no,unknown,28,may,2,-1,0,unknown,yes
7545,34,management,married,secondary,no,56,yes,no,cellular,20,nov,3,183,1,failure,no
7243,26,blue-collar,single,secondary,no,428,no,yes,cellular,7,jul,1,-1,0,unknown,no
5853,30,management,single,tertiary,no,265,no,no,cellular,25,nov,1,93,3,success,no
5593,38,management,married,tertiary,no,1463,yes,no,cellular,25,aug,4,-1,0,unknown,no
9250,47,management,married,tertiary,no,1057,no,no,cellular,4,aug,2,-1,0,unknown,no
1780,63,management,married,unknown,no,2352,no,no,telephone,4,may,7,-1,0,unknown,yes
10054,47,blue-collar,married,secondary,yes,-614,yes,no,unknown,26,may,2,-1,0,unknown,no
4311,30,admin.,married,secondary,no,0,no,no,cellular,1,jun,1,-1,0,unknown,yes
1048,39,management,divorced,tertiary,no,1968,no,no,cellular,21,nov,1,-1,0,unknown,yes
4014,24,management,single,tertiary,no,393,no,no,cellular,27,sep,1,-1,0,unknown,yes
4772,46,self-employed,married,secondary,no,548,no,no,cellular,12,aug,4,-1,0,unknown,yes
11019,34,admin.,married,secondary,no,1499,yes,no,cellular,13,apr,1,327,2,failure,no
3066,21,student,single,secondary,no,2488,no,no,telephone,12,jan,2,92,1,success,yes
6959,29,self-employed,married,tertiary,no,242,yes,no,cellular,18,jul,4,-1,0,unknown,no
10437,35,blue-collar,married,primary,no,602,yes,no,cellular,14,may,6,-1,0,unknown,no
8184,31,unemployed,married,secondary,no,-825,yes,no,unknown,7,may,2,-1,0,unknown,no
9549,35,blue-collar,married,secondary,no,975,yes,no,cellular,16,jul,1,-1,0,unknown,no
9157,34,blue-collar,single,secondary,no,550,yes,no,cellular,20,apr,3,346,1,failure,no
1283,26,admin.,single,tertiary,no,313,no,yes,cellular,26,feb,2,-1,0,unknown,yes
2563,29,management,single,tertiary,no,2531,no,no,cellular,19,aug,1,-1,0,unknown,yes
6612,36,admin.,single,secondary,no,0,yes,no,cellular,21,nov,2,-1,0,unknown,no
160,23,services,single,secondary,no,665,yes,no,unknown,28,may,1,-1,0,unknown,yes
8878,45,blue-collar,married,secondary,no,-221,yes,yes,unknown,3,jun,1,-1,0,unknown,no
1481,46,technician,married,secondary,no,2149,yes,no,cellular,15,apr,2,-1,0,unknown,yes
1396,34,admin.,married,secondary,no,1474,no,no,cellular,2,apr,2,-1,0,unknown,yes
8507,37,admin.,single,secondary,no,796,yes,no,telephone,29,jan,3,-1,0,unknown,no
8713,35,technician,single,secondary,no,4645,yes,no,cellular,11,jan,3,270,40,other,no
1699,28,technician,single,secondary,no,227,no,no,cellular,30,apr,1,-1,0,unknown,yes
3667,31,services,single,secondary,no,1027,no,no,cellular,2,jul,3,-1,0,unknown,yes
7437,45,admin.,married,secondary,no,0,no,no,cellular,19,aug,10,-1,0,unknown,no
9764,34,blue-collar,married,primary,no,15841,yes,no,cellular,20,apr,5,-1,0,unknown,no
8778,25,admin.,married,secondary,no,894,yes,no,unknown,28,may,1,-1,0,unknown,no
6404,46,services,married,secondary,no,1757,yes,no,unknown,14,may,4,-1,0,unknown,no
8997,38,technician,divorced,secondary,no,631,yes,no,cellular,25,aug,2,-1,0,unknown,no
2974,31,technician,married,secondary,no,318,no,no,cellular,2,dec,1,-1,0,unknown,yes
293,48,management,divorced,tertiary,no,503,no,yes,unknown,12,jun,7,-1,0,unknown,yes
928,40,blue-collar,married,secondary,no,5060,no,no,unknown,9,nov,1,-1,0,unknown,yes
10524,28,admin.,married,secondary,no,170,yes,yes,unknown,21,may,1,-1,0,unknown,no
2267,38,entrepreneur,divorced,secondary,no,1190,yes,no,cellular,4,jun,2,391,3,failure,yes
2037,32,management,married,tertiary,no,3387,yes,no,cellular,15,may,5,-1,0,unknown,yes
9378,50,management,divorced,primary,no,-6,yes,no,unknown,19,may,2,-1,0,unknown,no
7658,57,blue-collar,married,primary,no,0,no,no,unknown,9,jun,2,-1,0,unknown,no
8240,41,technician,married,secondary,no,-274,yes,no,unknown,27,may,3,-1,0,unknown,no
8115,28,technician,single,tertiary,no,4513,yes,no,unknown,27,may,3,-1,0,unknown,no
7892,34,technician,married,secondary,no,563,yes,yes,cellular,29,aug,15,-1,0,unknown,no
9472,34,services,single,secondary,no,544,yes,no,unknown,27,may,2,-1,0,unknown,no
2340,83,retired,married,primary,no,425,no,no,telephone,22,jun,1,140,1,failure,yes
2943,24,student,single,secondary,no,382,no,no,cellular,13,nov,2,92,3,failure,yes
2377,24,management,single,tertiary,no,507,no,no,cellular,3,jul,1,-1,0,unknown,yes
3007,69,retired,married,secondary,no,3588,yes,no,cellular,10,dec,1,-1,0,unknown,yes
1132,30,self-employed,single,tertiary,no,432,yes,no,cellular,2,feb,1,-1,0,unknown,yes
6891,42,management,divorced,tertiary,no,0,no,no,unknown,19,may,2,-1,0,unknown,no
370,39,technician,single,secondary,no,506,yes,no,cellular,7,jul,2,-1,0,unknown,yes
1743,24,student,single,secondary,no,382,no,no,cellular,30,apr,2,-1,0,unknown,yes
7276,35,services,married,secondary,no,0,yes,no,cellular,24,jul,1,-1,0,unknown,no
3490,28,management,single,tertiary,no,437,no,no,cellular,5,may,1,-1,0,unknown,yes
7856,29,blue-collar,married,primary,no,59,yes,yes,cellular,29,jul,4,-1,0,unknown,no
6970,50,blue-collar,married,primary,no,-37,yes,no,unknown,12,may,3,-1,0,unknown,no
5980,37,admin.,married,secondary,no,529,yes,no,cellular,16,sep,1,149,2,other,no
4807,32,services,married,secondary,no,264,yes,yes,cellular,19,nov,1,-1,0,unknown,yes
6633,32,technician,married,secondary,no,-300,no,no,cellular,28,aug,9,-1,0,unknown,no
10015,34,services,married,secondary,no,-451,yes,yes,cellular,23,jul,1,-1,0,unknown,no
1208,22,student,single,secondary,no,0,no,no,cellular,6,feb,6,-1,0,unknown,yes
1084,46,services,divorced,secondary,no,4329,no,no,cellular,21,nov,2,-1,0,unknown,yes
7860,40,entrepreneur,single,secondary,no,5,no,yes,cellular,15,jul,3,-1,0,unknown,no
3445,41,management,divorced,tertiary,no,5037,no,no,cellular,23,apr,9,185,5,other,yes
3702,31,management,single,tertiary,no,2907,yes,no,cellular,12,jul,1,194,3,failure,yes
9934,47,management,married,primary,yes,145,no,yes,unknown,1,jul,1,-1,0,unknown,no
8744,32,admin.,married,tertiary,no,281,yes,no,unknown,6,may,1,-1,0,unknown,no
1126,29,admin.,single,secondary,no,1027,yes,no,cellular,2,feb,1,-1,0,unknown,yes
11113,43,admin.,married,secondary,no,616,yes,no,unknown,9,may,2,-1,0,unknown,no
8017,35,management,married,unknown,no,1128,yes,no,unknown,4,jun,1,-1,0,unknown,no
9862,31,technician,single,secondary,no,373,no,no,cellular,22,aug,5,-1,0,unknown,no
7885,76,retired,married,secondary,no,2302,no,no,telephone,5,feb,1,87,2,failure,no
10758,34,management,single,tertiary,no,431,no,no,cellular,16,jul,1,-1,0,unknown,no
2252,42,admin.,single,secondary,no,684,no,no,cellular,4,jun,1,-1,0,unknown,yes
4370,33,admin.,single,tertiary,no,146,no,no,cellular,22,oct,1,91,3,success,yes
5106,43,technician,divorced,unknown,no,4389,no,no,telephone,2,jul,2,85,1,success,yes
1433,30,services,single,secondary,no,1268,yes,no,cellular,8,apr,4,320,8,other,yes
5957,48,management,divorced,tertiary,no,1401,yes,no,unknown,20,jun,3,-1,0,unknown,no
5894,29,services,married,secondary,no,376,no,yes,telephone,28,jan,3,183,4,failure,no
3493,72,retired,married,primary,no,2304,no,no,telephone,5,may,4,-1,0,unknown,yes
6019,35,management,married,tertiary,no,105,yes,no,cellular,6,may,1,365,3,failure,no
5761,28,student,single,secondary,no,1925,no,no,cellular,26,feb,1,93,3,success,no
5494,50,entrepreneur,married,primary,no,431,yes,no,cellular,20,apr,5,-1,0,unknown,no
967,39,entrepreneur,married,secondary,no,11887,no,no,cellular,18,nov,2,-1,0,unknown,yes
5930,32,services,single,secondary,no,1659,yes,no,unknown,30,may,6,-1,0,unknown,no
10931,58,admin.,married,primary,no,879,yes,no,unknown,16,may,7,-1,0,unknown,no
95,37,management,divorced,tertiary,no,122,yes,no,unknown,19,may,2,-1,0,unknown,yes
10581,35,management,single,tertiary,no,688,no,no,cellular,2,feb,1,-1,0,unknown,no
6013,47,unemployed,divorced,secondary,no,0,no,yes,cellular,30,jan,2,233,8,other,no
7260,41,technician,divorced,secondary,no,75,no,no,cellular,20,aug,2,-1,0,unknown,no
4838,71,technician,married,secondary,no,3020,no,no,telephone,30,jul,1,270,3,failure,yes
10571,56,housemaid,divorced,primary,no,61,no,no,cellular,2,jun,1,-1,0,unknown,no
1403,26,blue-collar,single,secondary,no,5005,no,yes,cellular,3,apr,1,-1,0,unknown,yes
5750,39,management,married,tertiary,no,839,no,yes,cellular,11,oct,2,774,11,failure,no
2611,29,unemployed,single,tertiary,no,1311,no,no,cellular,28,aug,1,-1,0,unknown,yes
8774,33,admin.,married,tertiary,no,205,no,no,unknown,1,jul,2,-1,0,unknown,no
11004,55,blue-collar,married,primary,no,-79,no,yes,unknown,27,jun,3,-1,0,unknown,no
1558,78,retired,married,primary,no,240,no,no,cellular,20,apr,1,-1,0,unknown,yes
6279,26,services,single,secondary,no,1114,no,no,cellular,9,feb,2,-1,0,unknown,no
6718,31,admin.,married,secondary,no,298,yes,yes,unknown,26,may,1,-1,0,unknown,no
1569,51,entrepreneur,married,tertiary,no,83,no,no,cellular,20,apr,2,-1,0,unknown,yes
3,55,services,married,secondary,no,2476,yes,no,unknown,5,may,1,-1,0,unknown,yes
30,32,blue-collar,married,secondary,yes,-1,yes,no,unknown,9,may,1,-1,0,unknown,yes
3349,25,blue-collar,single,secondary,no,303,no,no,cellular,18,mar,1,-1,0,unknown,yes
1197,31,services,single,secondary,no,13,no,yes,cellular,6,feb,2,-1,0,unknown,yes
4300,46,technician,married,secondary,no,1167,yes,no,cellular,21,nov,2,-1,0,unknown,yes
7385,28,blue-collar,married,primary,no,254,yes,no,cellular,20,apr,2,-1,0,unknown,no
10983,53,management,married,tertiary,no,20772,no,no,cellular,4,feb,1,-1,0,unknown,no
10913,29,blue-collar,married,secondary,no,294,yes,no,unknown,14,may,2,-1,0,unknown,no
1180,69,management,married,tertiary,no,840,no,no,telephone,5,feb,3,-1,0,unknown,yes
9879,56,management,married,secondary,no,230,no,no,unknown,9,may,4,-1,0,unknown,no
6876,34,management,single,tertiary,no,6766,no,no,cellular,28,aug,5,-1,0,unknown,no
5621,50,management,married,tertiary,no,-151,yes,no,cellular,18,nov,2,-1,0,unknown,no
5128,52,services,divorced,secondary,no,36,yes,yes,cellular,11,may,1,-1,0,unknown,yes
8532,42,management,divorced,tertiary,no,461,yes,no,unknown,3,jun,1,-1,0,unknown,no
5870,34,services,single,secondary,no,4062,yes,yes,cellular,15,may,1,-1,0,unknown,no
9076,34,blue-collar,married,primary,no,-78,yes,no,unknown,9,may,1,-1,0,unknown,no
9572,48,management,married,tertiary,no,2498,no,no,cellular,14,aug,2,-1,0,unknown,no
1328,44,management,single,tertiary,no,483,no,no,cellular,6,mar,2,199,6,success,yes
2824,73,retired,married,primary,no,542,no,no,cellular,26,oct,1,180,5,failure,yes
6744,34,blue-collar,single,secondary,no,79,no,yes,cellular,20,nov,1,-1,0,unknown,no
10499,35,management,single,tertiary,no,0,yes,no,unknown,2,jun,1,-1,0,unknown,no
9735,41,blue-collar,married,secondary,no,923,yes,no,unknown,14,may,2,-1,0,unknown,no
3207,75,retired,married,secondary,no,291,no,no,cellular,11,feb,1,183,1,failure,yes
2787,28,management,single,tertiary,no,80,no,no,cellular,20,oct,2,146,2,failure,yes
4049,42,unemployed,married,secondary,no,1289,no,no,cellular,15,oct,3,92,6,success,yes
5511,48,management,divorced,secondary,no,769,no,yes,cellular,28,jan,2,184,15,other,no
2133,58,technician,married,secondary,no,3399,no,no,cellular,26,may,1,97,7,other,yes
8673,55,technician,divorced,tertiary,no,0,yes,no,unknown,30,may,1,-1,0,unknown,no
3756,93,retired,married,unknown,no,775,no,no,cellular,22,jul,2,177,7,success,yes
10279,30,technician,single,tertiary,no,0,no,no,cellular,22,aug,2,-1,0,unknown,no
1285,30,management,single,tertiary,no,5561,yes,no,cellular,27,feb,1,100,1,success,yes
714,45,technician,divorced,secondary,no,2657,no,no,cellular,7,aug,3,-1,0,unknown,yes
7341,35,admin.,married,secondary,no,557,yes,no,cellular,17,jun,4,-1,0,unknown,no
1980,37,services,married,secondary,no,6089,yes,no,cellular,14,may,2,-1,0,unknown,yes
2973,28,admin.,married,secondary,no,330,no,no,cellular,2,dec,1,188,3,other,yes
10981,32,admin.,married,secondary,no,3540,yes,no,cellular,18,may,1,178,1,failure,no
6575,34,management,married,secondary,no,1007,yes,no,cellular,21,jul,2,-1,0,unknown,no
2519,56,retired,married,primary,no,9367,no,no,cellular,13,aug,2,101,2,success,yes
5522,28,technician,single,tertiary,no,375,yes,no,cellular,14,may,1,350,1,other,no
9153,41,self-employed,married,unknown,no,1377,yes,no,cellular,15,may,4,371,2,other,no
7760,42,technician,single,secondary,no,0,yes,no,unknown,6,may,1,-1,0,unknown,no
2101,39,management,single,tertiary,no,307,no,no,cellular,22,may,2,-1,0,unknown,yes
10769,48,admin.,married,unknown,no,0,yes,no,cellular,8,may,1,168,2,failure,no
4737,37,management,single,tertiary,no,102,yes,no,cellular,6,may,1,258,2,failure,yes
188,32,services,married,secondary,no,-34,yes,no,unknown,30,may,2,-1,0,unknown,yes
8935,38,entrepreneur,married,tertiary,no,4,yes,no,cellular,16,jul,1,-1,0,unknown,no
10371,47,management,married,tertiary,no,60,no,no,unknown,2,jun,7,-1,0,unknown,no
6078,33,blue-collar,married,secondary,yes,2,no,no,unknown,23,may,4,-1,0,unknown,no
4332,31,services,married,secondary,no,447,no,no,cellular,4,jun,3,77,3,success,yes
9645,34,student,single,unknown,no,2321,no,no,cellular,9,nov,2,99,5,failure,no
7531,34,management,single,tertiary,no,757,no,no,cellular,18,aug,4,-1,0,unknown,no
762,39,management,married,tertiary,no,271,yes,no,cellular,12,aug,1,-1,0,unknown,yes
3245,38,management,single,tertiary,no,455,yes,no,cellular,19,feb,2,555,6,success,yes
8122,42,management,married,secondary,no,1018,no,no,cellular,29,jul,2,-1,0,unknown,no
10632,45,blue-collar,single,secondary,no,0,yes,no,cellular,16,oct,1,165,3,failure,no
1775,39,management,single,tertiary,no,1515,yes,no,cellular,4,may,6,167,6,failure,yes
8606,30,technician,single,secondary,no,1286,no,no,telephone,28,aug,12,-1,0,unknown,no
5969,33,blue-collar,married,secondary,no,19,yes,no,cellular,4,feb,1,271,1,other,no
7631,36,blue-collar,single,secondary,no,111,yes,no,cellular,6,may,3,-1,0,unknown,no
10114,50,admin.,divorced,secondary,no,-194,yes,no,cellular,13,apr,2,-1,0,unknown,no
3967,21,student,single,unknown,no,1506,no,no,cellular,14,sep,1,-1,0,unknown,yes
8979,36,admin.,single,secondary,no,10041,yes,no,cellular,20,nov,2,184,1,other,no
8503,50,management,married,secondary,no,2910,no,no,telephone,19,nov,1,113,1,failure,no
8545,34,technician,married,secondary,no,1254,no,no,cellular,6,may,3,-1,0,unknown,no
3297,32,management,married,tertiary,no,2667,yes,no,cellular,4,mar,1,181,4,failure,yes
8598,53,management,married,unknown,no,527,yes,no,cellular,23,jul,3,-1,0,unknown,no
5072,71,retired,married,primary,no,2988,no,no,telephone,17,apr,1,-1,0,unknown,yes
11077,54,retired,divorced,tertiary,no,6102,yes,yes,unknown,21,may,6,-1,0,unknown,no
4876,62,retired,married,secondary,no,1495,no,no,cellular,2,feb,1,-1,0,unknown,yes
7169,30,self-employed,single,secondary,no,5223,no,no,cellular,14,oct,2,-1,0,unknown,no
3097,38,unemployed,married,primary,no,7005,yes,no,cellular,25,jan,1,202,2,success,yes
10188,54,retired,divorced,secondary,no,2761,no,no,cellular,16,jul,1,-1,0,unknown,no
11121,30,management,single,tertiary,no,0,no,no,cellular,18,aug,3,-1,0,unknown,no
9727,31,blue-collar,married,secondary,no,64,yes,no,cellular,18,jul,3,-1,0,unknown,no
7704,42,blue-collar,married,secondary,no,790,yes,no,unknown,29,may,2,-1,0,unknown,no
11025,43,technician,married,secondary,no,0,no,no,cellular,19,aug,3,-1,0,unknown,no
10311,36,management,married,tertiary,no,6641,no,no,cellular,30,jul,4,-1,0,unknown,no
1211,28,technician,single,secondary,no,313,no,no,cellular,9,feb,2,-1,0,unknown,yes
31,60,technician,married,primary,no,65,yes,no,unknown,9,may,2,-1,0,unknown,yes
5213,77,retired,married,tertiary,no,699,no,no,cellular,13,aug,2,-1,0,unknown,yes
10549,40,blue-collar,married,secondary,no,750,yes,yes,cellular,16,apr,1,281,1,failure,no
7305,53,management,married,tertiary,no,37,no,no,cellular,28,aug,9,-1,0,unknown,no
7558,39,services,single,tertiary,no,410,no,no,unknown,19,jun,4,-1,0,unknown,no
7580,36,blue-collar,divorced,primary,no,0,no,no,cellular,14,may,2,-1,0,unknown,no
3287,47,technician,married,primary,no,235,no,no,cellular,2,mar,2,203,1,other,yes
9023,52,blue-collar,married,primary,no,924,no,no,cellular,21,aug,4,-1,0,unknown,no
6341,37,blue-collar,married,unknown,no,-1050,yes,no,unknown,2,jun,2,-1,0,unknown,no
2759,54,blue-collar,married,primary,no,1311,no,no,telephone,15,oct,3,184,3,failure,yes
6338,29,unknown,single,secondary,no,923,no,no,cellular,26,may,1,-1,0,unknown,no
5193,46,blue-collar,married,primary,no,369,yes,no,unknown,13,may,2,-1,0,unknown,yes
10040,42,entrepreneur,married,secondary,no,324,yes,no,cellular,15,jul,3,-1,0,unknown,no
7313,52,technician,married,secondary,no,930,yes,no,unknown,2,jun,16,-1,0,unknown,no
1921,38,blue-collar,married,primary,no,1401,no,no,cellular,13,may,1,-1,0,unknown,yes
6417,27,admin.,single,secondary,no,592,yes,yes,cellular,5,feb,3,-1,0,unknown,no
9624,19,student,single,unknown,no,60,no,no,cellular,14,aug,1,-1,0,unknown,no
7790,47,technician,married,secondary,no,1571,yes,no,cellular,11,may,1,369,2,failure,no
1054,30,technician,married,secondary,no,455,yes,no,cellular,21,nov,1,-1,0,unknown,yes
3988,37,management,divorced,tertiary,no,488,yes,no,cellular,17,sep,1,854,2,failure,yes
9151,34,management,single,tertiary,no,0,yes,no,unknown,21,may,1,-1,0,unknown,no
7711,28,blue-collar,single,primary,no,426,yes,no,cellular,18,may,3,-1,0,unknown,no
9348,56,self-employed,married,secondary,no,784,no,yes,cellular,30,jul,2,-1,0,unknown,no
4349,38,blue-collar,divorced,secondary,no,0,yes,no,cellular,21,oct,1,183,4,success,yes
9317,39,housemaid,married,primary,no,2460,no,no,cellular,11,jul,3,-1,0,unknown,no
2366,45,admin.,married,unknown,no,5511,no,no,cellular,2,jul,1,-1,0,unknown,yes
745,47,blue-collar,married,secondary,no,2787,no,no,cellular,11,aug,1,-1,0,unknown,yes
4303,32,management,single,tertiary,no,3283,no,no,cellular,12,aug,2,191,2,success,yes
